p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512,1024,1024, , ,-p2p_pl,-pencils,-r2c_dir 1,4 16 4,1 128 2,4,cufft,-4576.69,677.6441144943237,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,32 4 2,1 128 2,8,cufft,-6796.85,683.5423090457916,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,1 64 4,1 128 2,8,cufft,-3249.29,689.4560086727142,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,16 2 8,128 2 1,12,cufft,-4354.29,696.552458524704,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,16 8 2,1 128 2,8,cufft,-6410.13,702.2347254753113,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl, ,-r2c_dir 1,64 1 4,1 128 2,12,cufft,-5008.48,708.1168911457062,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,16 2 8,1 128 2,8,cufft,-7365.71,713.7676174640656,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,128 2 1,1 128 2,8,cufft,-3958.26,719.8079583644867,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,16 2 8,1 128 2,12,cufft,-6101.63,725.4406988620758,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,16 8 2,1 128 2,8,cufft,-6896.56,731.1213068962097,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl, ,-r2c_dir 1,32 2 4,1 128 2,8,cufft,-7006.13,737.0827541351318,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p_pl,-pencils,-r2c_dir 1,16 4 4,1 128 2,8,cufft,-7311.89,742.8852741718292,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder,-a2a,-p2p, ,-r2c_dir 1,16 2 8,1 128 2,8,cufft,-4815.28,748.6745097637177,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p_pl, ,-r2c_dir 1,8 8 4,1 128 2,16,cufft,-6397.37,754.3523600101471,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p_pl,-pencils,-r2c_dir 1,4 2 32,1 128 2,8,cufft,-5292.31,759.9921636581421,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl, ,-r2c_dir 1,64 4 1,1 128 2,2,cufft,-3592.08,766.1126842498779,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,128 1 2,1 128 2,8,cufft,-3390.41,772.0530915260315,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2av,-p2p_pl, ,-r2c_dir 1,32 2 4,1 128 2,8,cufft,-7455.45,778.0745704174042,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2av,-p2p_pl, ,-r2c_dir 2,4 1 64,1 128 2,8,cufft,-5017.26,783.9744820594788,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl,-slabs,-r2c_dir 1,64 4 1,1 128 2,8,cufft,-2196.18,790.478095293045,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl, ,-r2c_dir 1,8 32 1,1 128 2,8,cufft,-6281.3,796.1088564395905,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,4 64 1,1 128 2,8,cufft,-5728.42,801.9244282245636,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p_pl, ,-r2c_dir 1,1 256 1,32 2 4,8,cufft,-2003.82,808.4105322360992,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p_pl,-pencils,-r2c_dir 1,8 4 8,1 128 2,8,cufft,-6741.29,814.1806690692902,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 1 32,1 128 2,8,cufft,-9470.35,819.7860627174377,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,256 1 1,1 128 2,8,cufft,-2448.11,826.2016615867615,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,2 1 128,1 128 2,2,cufft,-5160.84,832.291526556015,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p,-pencils,-r2c_dir 1,2 32 4,1 128 2,8,cufft,-2265.11,838.4927105903625,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p_pl,-pencils, ,64 4 1,1 128 2,8,cufft,-2571.12,844.5118365287781,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,64 4 1,1 128 2,8,cufft,-4424.75,850.5101552009583,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,16 2 8,4 16 4,8,cufft,-4888.44,856.0886719226837,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p_pl,-pencils,-r2c_dir 1,1 32 8,1 128 2,8,cufft,-5117.75,861.8848829269409,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 16,1 128 2,8,cufft,-7916.31,867.6068358421326,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p_pl,-pencils,-r2c_dir 1,2 4 32,1 128 2,8,cufft,-5626.71,873.2474150657654,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, , ,-pencils,-r2c_dir 1,4 8 8,1 128 2,8,cufft,-4636.66,879.6061053276062,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, ,-p2p_pl, ,-r2c_dir 1,16 1 16,1 128 2,8,cufft,-10938.2,885.1483907699585,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,4 4 16,1 128 2,16,cufft,-5335.01,890.8214480876923,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,1 1 256,1 128 2,8,cufft,-2728.59,897.2927296161652,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p_pl, ,-r2c_dir 1,1 2 128,1 128 2,8,cufft,-5456.34,902.9477655887604,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl, ,-r2c_dir 1,32 1 8,1 128 2,8,cufft,-8624.88,908.8304307460785,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,4 32 2,1 128 2,8,cufft,-5593.62,914.5212035179138,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, ,-p2p_pl, ,-r2c_dir 1,128 1 2,1 128 2,16,cufft,-4960.26,920.4124808311462,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,2 128 1,1 128 2,8,cufft,-5399.49,926.5640993118286,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,2 64 2,1 128 2,16,cufft,-4358.28,932.6263318061829,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, ,-p2p_pl, ,-r2c_dir 1,64 2 2,32 1 8,8,cufft,-3213.11,938.4502606391907,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,32 8 1,1 128 2,2,cufft,-4013.08,944.4319915771484,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,2 32 4,1 128 2,8,cufft,-5287.81,950.2717702388763,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, ,-p2p_pl, , ,2 32 4,1 128 2,8,cufft,-3345.9,956.1633608341217,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,1 8 32,1 128 2,8,cufft,-5551.2,961.8512802124023,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 1 32,1 128 2,8,cufft,-9468.49,967.4072332382202,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p_pl, ,-r2c_dir 1,1 16 16,1 128 2,16,cufft,-5225.85,973.1545236110687,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl,-slabs,-r2c_dir 1,16 4 4,1 128 2,8,cufft,-1572.87,979.8193655014038,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 8 4,1 128 2,8,cufft,-6407.62,985.547256231308,polaris-gpu,256,64,4,True,2,1
