p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512,-reorder, ,-p2p_pl, ,-r2c_dir 0,0.9115923182400458,0.6271873203061703,4,fftw,-1368.64,757.9761760234833,theta-knl,4096,64,False,5,4
float,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,0.9977466477571496,0.929137416643214,4,fftw,-944.944,772.0342464447021,theta-knl,4096,64,False,4,4
float,512,-reorder, ,-p2p,-pencils,-r2c_dir 0,0.9786198908198205,0.6265970882143828,4,fftw,-1230.76,774.0153465270996,theta-knl,4096,64,False,2,4
float,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,0.9935579217170696,0.6513819345636758,4,fftw,-1141.83,787.5559771060944,theta-knl,4096,64,False,3,4
float,512,-reorder,-a2av, , ,-r2c_dir 1,0.9283150324230846,0.6388506154533327,4,fftw,-996.157,792.5715086460114,theta-knl,4096,64,False,5,4
float,512, ,-a2av,-p2p,-pencils,-r2c_dir 0,0.936172013468306,0.6316295235103141,4,fftw,-1329.72,808.121499300003,theta-knl,4096,64,False,2,4
float,512,-reorder,-a2a,-p2p, ,-r2c_dir 2,0.9602742878741497,0.6272552943113098,2,fftw,-891.558,812.4726469516754,theta-knl,4096,64,False,4,4
float,512,-reorder,-a2av,-p2p,-pencils, ,0.9227951295705337,0.6324519547073995,2,fftw,-1284.26,824.7129507064819,theta-knl,4096,64,False,3,4
float,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.9232712198329541,0.6250999471579018,4,fftw,-1376.19,824.991607427597,theta-knl,4096,64,False,5,4
float,512, , ,-p2p_pl,-pencils, ,0.9721857650585544,0.6266522335606799,4,fftw,-1330.53,838.7290194034576,theta-knl,4096,64,False,2,4
float,512, , ,-p2p, ,-r2c_dir 0,0.9878896634705003,0.6378552605246144,2,fftw,-1278.04,846.6376855373383,theta-knl,4096,64,False,4,4
float,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.9857100483604352,0.6231325706395385,4,fftw,-1277.4,861.5312802791595,theta-knl,4096,64,False,5,4
float,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.9956746850763091,0.5155322229258728,4,fftw,-1091.85,867.052339553833,theta-knl,4096,64,False,3,4
float,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,0.9710043979692936,0.6369299082846769,2,fftw,-1270.7,871.5642495155334,theta-knl,4096,64,False,2,4
float,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.95639755432437,0.6348865749338719,2,fftw,-1363.48,878.1431066989899,theta-knl,4096,64,False,4,4
float,512, ,-a2av,-p2p_pl, ,-r2c_dir 0,0.9337928944538204,0.6204673477558168,2,fftw,-1361.0,895.7646372318268,theta-knl,4096,64,False,5,4
float,512,-reorder, ,-p2p_pl, , ,0.8753705975710601,0.6244038151896575,4,fftw,-1237.28,900.940548658371,theta-knl,4096,64,False,3,4
float,512,-reorder,-a2av,-p2p_pl,-slabs, ,0.9873407113134368,0.6290361905356376,4,fftw,-26.1323,910.129745721817,theta-knl,4096,64,False,2,4
