p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,256 4 1,2,0.4923076923076923,0.0461538461538461,0.0,fftw,-932.698,269.5000422000885,theta-knl,1024,256,64,False,5,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,64 16 1,4,0.4923076923076923,0.1538461538461538,1.0,fftw,-979.472,280.68437361717224,theta-knl,1024,256,64,False,2,4
float,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,2,0.4923076923076923,0.2307692307692307,0.0,fftw,-902.185,285.6591832637787,theta-knl,1024,256,64,False,3,4
float,1400,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,512 2 1,4,0.4923076923076923,0.0153846153846153,1.0,fftw,-700.823,291.5174648761749,theta-knl,1024,256,64,False,4,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,4,0.4923076923076923,0.2307692307692307,1.0,fftw,-936.714,289.76101899147034,theta-knl,1024,256,64,False,5,4
float,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,16 8 8,32 32 1,2,0.3692307692307692,0.2307692307692307,0.0,fftw,-798.13,299.85696721076965,theta-knl,1024,256,64,False,2,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,256 4 1,2,0.4923076923076923,0.0461538461538461,0.0,fftw,-906.482,303.9409914016724,theta-knl,1024,256,64,False,3,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,256 4 1,2,0.4923076923076923,0.0461538461538461,0.0,fftw,-927.045,307.96035146713257,theta-knl,1024,256,64,False,4,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,2,0.4923076923076923,0.2307692307692307,0.0,fftw,-872.194,311.27372550964355,theta-knl,1024,256,64,False,5,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,256 4 1,2,0.4923076923076923,0.0461538461538461,0.0,fftw,-882.514,318.39831161499023,theta-knl,1024,256,64,False,2,4
float,1400,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,2,0.4923076923076923,0.2307692307692307,0.0,fftw,-783.76,323.15194845199585,theta-knl,1024,256,64,False,3,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,2,0.4923076923076923,0.2307692307692307,0.0,fftw,-893.77,326.3596971035004,theta-knl,1024,256,64,False,4,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,256 4 1,4,0.4923076923076923,0.0461538461538461,1.0,fftw,-894.125,329.62510991096497,theta-knl,1024,256,64,False,5,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,4,0.4923076923076923,0.2307692307692307,1.0,fftw,-870.607,336.9951865673065,theta-knl,1024,256,64,False,2,4
float,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,4,0.4923076923076923,0.2307692307692307,1.0,fftw,-877.814,341.6841096878052,theta-knl,1024,256,64,False,3,4
float,1400,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,4,0.4923076923076923,0.2307692307692307,1.0,fftw,-938.57,344.5795855522156,theta-knl,1024,256,64,False,4,4
float,1400,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,4,0.4923076923076923,0.2307692307692307,1.0,fftw,-871.525,348.3624520301819,theta-knl,1024,256,64,False,5,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,4,0.4923076923076923,0.2307692307692307,1.0,fftw,-865.907,355.550785779953,theta-knl,1024,256,64,False,2,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,4,0.4923076923076923,0.2307692307692307,1.0,fftw,-876.169,360.33835220336914,theta-knl,1024,256,64,False,3,4
float,1400,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,256 4 1,4,0.4923076923076923,0.0461538461538461,1.0,fftw,-934.22,362.5453128814697,theta-knl,1024,256,64,False,4,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,4,0.4923076923076923,0.2307692307692307,1.0,fftw,-871.155,367.0248956680298,theta-knl,1024,256,64,False,5,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 8 16,128 8 1,4,0.4923076923076923,0.0923076923076923,1.0,fftw,-802.357,375.3796637058258,theta-knl,1024,256,64,False,2,4
float,1400,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,256 4 1,4,0.4923076923076923,0.0461538461538461,1.0,fftw,-890.188,378.9959111213684,theta-knl,1024,256,64,False,3,4
float,1400,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,2,0.4923076923076923,0.2307692307692307,0.0,fftw,-943.741,381.6184296607971,theta-knl,1024,256,64,False,4,4
float,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,512 2 1,2,0.4923076923076923,0.0153846153846153,0.0,fftw,-887.19,385.5605893135071,theta-knl,1024,256,64,False,5,4
float,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 8 16,64 4 4,4,0.4923076923076923,0.1846153846153846,1.0,fftw,-596.352,397.0415847301483,theta-knl,1024,256,64,False,2,4
float,1400,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,512 2 1,2,0.4923076923076923,0.0153846153846153,0.0,fftw,-851.05,397.6899807453156,theta-knl,1024,256,64,False,3,4
float,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,512 2 1,2,0.4923076923076923,0.0153846153846153,0.0,fftw,-926.729,400.1265082359314,theta-knl,1024,256,64,False,4,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,512 2 1,4,0.4923076923076923,0.0153846153846153,1.0,fftw,-884.717,403.9149899482727,theta-knl,1024,256,64,False,5,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,64 16 1,2,0.4923076923076923,0.1538461538461538,0.0,fftw,-947.814,415.1198468208313,theta-knl,1024,256,64,False,2,4
float,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,16 8 8,512 2 1,4,0.3692307692307692,0.0153846153846153,1.0,fftw,-772.167,419.7410571575165,theta-knl,1024,256,64,False,3,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,128 8 1,4,0.4923076923076923,0.0923076923076923,1.0,fftw,-922.001,421.8521475791931,theta-knl,1024,256,64,False,4,4
