p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-274.377,253.9606430530548,theta-knl,1024,256,64,False,0.0,0.0,0.0,5,4
float,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-268.433,258.39081835746765,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-271.035,260.402508020401,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 0,1024 1 1,1024 1 1,2,fftw,2.137,261.19436168670654,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
float,512,512,512,-reorder,-a2av, ,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-206.762,264.69464802742004,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
float,512,512,512,-reorder,-a2a, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-190.644,269.64376521110535,theta-knl,1024,256,64,False,0.0,0.0,0.0,2,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 0,1024 1 1,1024 1 1,4,fftw,2.137,269.68199014663696,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-reorder,-a2a, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-199.84,275.99518871307373,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
float,512,512,512,-no-reorder, , ,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-207.774,280.2339625358581,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-no-reorder, , ,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-206.15,282.21423387527466,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 0,1024 1 1,1024 1 1,4,fftw,2.137,283.5138621330261,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
double,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-137.78,288.0102438926697,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
float,512,512,512,-no-reorder,-a2av, ,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-207.253,290.54167580604553,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-no-reorder,-a2av, ,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-209.596,292.60159969329834,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
float,512,512,512,-reorder,-a2av, ,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-197.873,294.47193026542664,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
float,512,512,512,-reorder, , ,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-204.189,298.3282890319824,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
float,512,512,512,-reorder, , ,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-202.342,300.94371032714844,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-no-reorder,-a2av,-p2p,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-159.394,304.32159900665283,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
float,512,512,512,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-193.623,306.4634897708893,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
float,512,512,512,-reorder, , ,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-198.045,308.6238679885864,theta-knl,1024,256,64,False,0.0,0.0,0.0,5,4
float,512,512,512,-reorder,-a2av, ,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-203.624,311.3712182044983,theta-knl,1024,256,64,False,0.0,0.0,0.0,2,4
float,512,512,512,-reorder,-a2av, ,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-199.946,314.7117774486542,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-reorder, ,-p2p,-slabs,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-156.644,318.310741186142,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
float,512,512,512,-reorder,-a2a, ,-slabs,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-146.681,319.7146325111389,theta-knl,1024,256,64,False,0.0,0.0,0.0,5,4
float,512,512,512,-reorder,-a2a, ,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-146.595,322.4037103652954,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-no-reorder, , ,-slabs,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-190.49,324.98848032951355,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
float,512,512,512,-no-reorder, , ,-slabs,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-187.966,328.6951642036438,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-no-reorder,-a2a, ,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-150.699,333.288465499878,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-no-reorder,-a2av, ,-slabs,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-186.495,335.3444938659668,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
float,512,512,512,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-125.595,336.7240254878998,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
double,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-134.616,340.60142064094543,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 0,1024 1 1,1024 1 1,2,fftw,2.137,342.2324001789093,theta-knl,1024,256,64,False,0.0,0.0,0.0,2,4
float,512,512,512,-reorder, ,-p2p,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-216.856,348.9421148300171,theta-knl,1024,256,64,False,0.0,0.0,0.0,5,4
float,512,512,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-200.819,352.6147620677948,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-reorder, ,-p2p,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-204.508,354.2299566268921,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-179.142,354.884783744812,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
float,512,512,512,-reorder, ,-p2p,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-200.393,360.8009932041168,theta-knl,1024,256,64,False,0.0,0.0,0.0,5,4
float,512,512,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-216.889,364.67367339134216,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-reorder, ,-p2p,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-199.355,366.73030376434326,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-204.589,368.707177400589,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-reorder, ,-p2p,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-202.988,376.6282076835632,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-220.337,378.6427478790283,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-177.567,380.7587456703186,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
float,512,512,512,-reorder, ,-p2p,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-204.378,381.0083866119385,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-202.532,388.5210225582123,theta-knl,1024,256,64,False,0.0,0.0,0.0,2,4
float,512,512,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-201.59,390.5933849811554,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-215.938,392.6279783248901,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
float,512,512,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-200.299,400.4510269165039,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-176.846,402.3602514266968,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
float,512,512,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-205.302,402.48403668403625,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
float,512,512,512,-no-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-197.594,404.4569764137268,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-214.294,412.3788347244263,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-reorder,-a2a,-p2p,-slabs,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-153.587,414.0939371585846,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-202.247,416.0055601596832,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-no-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-181.178,417.7849760055542,theta-knl,1024,256,64,False,0.0,0.0,0.0,5,4
float,512,512,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-200.819,424.33243560791016,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
