p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512,512,512,-reorder, ,-p2p_pl, ,-r2c_dir 0,2 2 2,8 1 1,12,0.4444444444444444,0.0,0.75,cufft,-1400.67,110.56928062438963,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1444.1,111.95709824562071,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils, ,2 2 2,8 1 1,12,0.4444444444444444,0.0,0.75,cufft,-1392.69,113.48211526870728,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1431.14,115.01484513282776,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,2 2 2,4 2 1,8,0.4444444444444444,0.1111111111111111,0.5,cufft,-1408.85,116.48958802223206,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2a,-p2p, ,-r2c_dir 1,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1046.24,118.0619113445282,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1437.88,119.53246021270752,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2a,-p2p_pl, , ,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1433.51,121.0483946800232,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,2,0.4444444444444444,0.1111111111111111,0.0,cufft,-1452.0,122.55557918548584,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder, ,-p2p_pl, , ,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1437.77,124.0613260269165,polaris-gpu,8,64,4,True,3,4
