p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
double,128,128,128, ,-a2av, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-41.0495,122.33612394332886,polaris-gpu,16,64,4,True,0.0,0.0,0.0,5,4
double,128,128,128, , , ,-pencils,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-40.9988,125.70304322242737,polaris-gpu,16,64,4,True,0.0,0.0,0.0,5,4
double,128,128,128, ,-a2a, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,12,cufft,1.0,127.03232526779175,polaris-gpu,16,64,4,True,0.0,0.0,0.75,2,4
double,128,128,128, ,-a2a, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,16,cufft,1.0,128.3161861896515,polaris-gpu,16,64,4,True,0.0,0.0,1.0,3,4
double,128,128,128, ,-a2a,-p2p_pl,-pencils,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-40.4484,130.3861105442047,polaris-gpu,16,64,4,True,0.0,0.0,0.5,3,4
double,128,128,128, ,-a2a,-p2p,-pencils,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-31.62,131.8240842819214,polaris-gpu,16,64,4,True,0.0,0.0,0.0,5,4
double,128,128,128, ,-a2a, ,-pencils, ,16 1 1,16 1 1,8,cufft,-32.775,133.75583934783936,polaris-gpu,16,64,4,True,0.0,0.0,0.5,3,4
double,128,128,128, ,-a2av, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-40.3005,135.0804796218872,polaris-gpu,16,64,4,True,0.0,0.0,1.0,5,4
double,128,128,128, ,-a2a, ,-pencils,-r2c_dir 1,16 1 1,16 1 1,12,cufft,1.0,135.78617191314697,polaris-gpu,16,64,4,True,0.0,0.0,0.75,4,4
double,128,128,128, ,-a2av, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-40.2389,137.03529977798462,polaris-gpu,16,64,4,True,0.0,0.0,0.5,3,4
double,128,128,128, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,16 1 1,16 1 1,2,cufft,-38.0446,138.4122953414917,polaris-gpu,16,64,4,True,0.0,0.0,0.0,4,4
double,128,128,128, ,-a2a, ,-pencils, ,16 1 1,16 1 1,2,cufft,-33.4543,139.87666773796082,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128, ,-a2a,-p2p,-pencils,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-28.0964,141.25223469734192,polaris-gpu,16,64,4,True,0.0,0.0,0.5,4,4
double,128,128,128, ,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-55.7814,142.58372449874878,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128, , , ,-pencils,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-40.1097,143.97780585289001,polaris-gpu,16,64,4,True,0.0,0.0,0.5,4,4
double,128,128,128,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,16 1 1,16 1 1,2,cufft,-43.6983,145.39706945419312,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128, ,-a2a, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-53.6858,146.72701287269592,polaris-gpu,16,64,4,True,0.0,0.0,0.0,4,4
double,128,128,128,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,2,cufft,1.0,148.91625094413757,polaris-gpu,16,64,4,True,0.0,0.0,0.0,2,4
double,128,128,128, , , , ,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-41.1613,149.55584454536438,polaris-gpu,16,64,4,True,0.0,0.0,0.0,4,4
