p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,128, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.8837610594036113,0.5225260099648108,4,fftw,-33.026,836.2374958992004,theta-knl,4096,64,False,4,4
float,128, , ,-p2p_pl,-pencils,-r2c_dir 1,0.8652761148388377,0.5312433398229373,4,fftw,-33.2696,842.3175699710846,theta-knl,4096,64,False,5,4
float,128, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.7556540635541011,0.5019632771603564,2,fftw,-34.2804,854.2738628387451,theta-knl,4096,64,False,2,4
double,128,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.8027758524561311,0.5188142747686144,4,fftw,-17.4054,869.8888976573944,theta-knl,4096,64,False,3,4
float,128,-reorder, ,-p2p_pl, ,-r2c_dir 1,0.9261956153134272,0.5438297783600222,4,fftw,-32.9362,873.4536235332489,theta-knl,4096,64,False,4,4
float,128, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.8911300395684613,0.546382454393065,4,fftw,-32.2317,884.2509560585022,theta-knl,4096,64,False,5,4
float,128,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.878933586677191,0.10272080253634763,4,fftw,2.137,893.8404397964478,theta-knl,4096,64,False,2,4
float,128, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.779689945874353,0.5463400677539253,2,fftw,-34.4521,907.2969410419464,theta-knl,4096,64,False,3,4
float,128,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.9859494729447662,0.5068900694444716,4,fftw,-32.7529,912.758941411972,theta-knl,4096,64,False,4,4
float,128, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.7814332334811579,0.4759252213050923,2,fftw,-21.2375,925.5109913349152,theta-knl,4096,64,False,2,4
float,128,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.8902120402172103,0.5345880698525612,4,fftw,-33.4957,927.1601793766022,theta-knl,4096,64,False,5,4
float,128,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,0.7680733526667449,0.442183422361781,4,fftw,-33.7436,948.3909025192261,theta-knl,4096,64,False,3,4
float,128, , ,-p2p_pl, ,-r2c_dir 1,0.9683113090589271,0.502450266718529,4,fftw,-33.4326,954.0984172821045,theta-knl,4096,64,False,4,4
float,128, , ,-p2p_pl, ,-r2c_dir 1,0.9120020109586899,0.514345629453724,2,fftw,-32.693,966.1799659729004,theta-knl,4096,64,False,2,4
float,128,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.8925759247285265,0.5085822777926713,2,fftw,-32.8061,968.112771987915,theta-knl,4096,64,False,5,4
float,128,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.8443422290459477,0.518732192596983,4,fftw,-26.1599,991.7311279773712,theta-knl,4096,64,False,3,4
float,128, , ,-p2p_pl, ,-r2c_dir 1,0.7902835071018242,0.5033904996770421,2,fftw,-33.8777,997.5148406028748,theta-knl,4096,64,False,4,4
float,128,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.8941237832549447,0.5305745094617935,2,fftw,-33.1623,1006.61017537117,theta-knl,4096,64,False,2,4
float,128,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.7793255288598729,0.5502396363675859,2,fftw,-33.9188,1009.9730360507965,theta-knl,4096,64,False,5,4
float,128,-reorder, ,-p2p_pl, ,-r2c_dir 1,0.8189905949758376,0.5526473351128661,2,fftw,-29.3488,1033.331437587738,theta-knl,4096,64,False,3,4
float,128,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.7593078451246655,0.5773919337079514,4,fftw,-33.6323,1035.1981647014618,theta-knl,4096,64,False,4,4
float,128,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.7610217190128677,0.5343629158532784,2,fftw,-34.8145,1049.66419839859,theta-knl,4096,64,False,2,4
float,128,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.988491900355012,0.5309520334527249,2,fftw,-32.9799,1050.300210237503,theta-knl,4096,64,False,5,4
