p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,1024,1024,1024,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-458.048,672.0727608203888,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024,-reorder,-a2a,-p2p, ,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-429.57,677.2382574081421,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
float,1024,1024,1024, ,-a2a, , ,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-417.767,677.3053123950958,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
double,1024,1024,1024, ,-a2av, , ,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-311.786,692.3405225276947,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024,-reorder, , ,-pencils, ,2048 1 1,2048 1 1,4,fftw,2.137,685.712822675705,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024, ,-a2a,-p2p, ,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-513.216,698.089807510376,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024,-reorder,-a2a,-p2p, ,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-510.969,699.8615229129791,theta-knl,2048,256,64,False,0.0,0.0,1.0,5,4
float,1024,1024,1024, ,-a2a,-p2p, ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-476.149,706.663560628891,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024,-reorder, , ,-pencils,-r2c_dir 0,2048 1 1,2048 1 1,4,fftw,2.137,704.9448227882385,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
float,1024,1024,1024, ,-a2a,-p2p,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-512.059,718.9005177021027,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-515.497,720.5506961345673,theta-knl,2048,256,64,False,0.0,0.0,1.0,5,4
float,1024,1024,1024,-no-reorder,-a2a,-p2p, ,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-459.757,726.0521197319031,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
float,1024,1024,1024,-no-reorder,-a2a,-p2p, ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-440.851,727.8641221523285,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024,-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-499.385,739.688853263855,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024, ,-a2a,-p2p,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-510.381,741.4420845508575,theta-knl,2048,256,64,False,0.0,0.0,1.0,5,4
float,1024,1024,1024, ,-a2a,-p2p,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-515.621,746.7227761745453,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024, ,-a2a,-p2p,-slabs,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-386.306,747.6863834857941,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-482.472,760.5473375320435,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
float,1024,1024,1024,-reorder,-a2a, ,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-435.098,760.9377889633179,theta-knl,2048,256,64,False,0.0,0.0,1.0,5,4
