p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,12,cufft,-481.059,125.36959624290466,polaris-gpu,64,64,4,True,0.0,0.0,0.75,4,4
float,512,512,512,-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,12,cufft,-489.216,126.57951283454896,polaris-gpu,64,64,4,True,0.0,0.0,0.75,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,2,cufft,-479.45,127.9632818698883,polaris-gpu,64,64,4,True,0.0,0.0,0.0,3,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,4,cufft,-494.101,129.3962390422821,polaris-gpu,64,64,4,True,0.0,0.0,0.25,4,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,16,cufft,-491.241,130.63752627372742,polaris-gpu,64,64,4,True,0.0,0.0,1.0,2,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,12,cufft,-471.833,132.04034543037417,polaris-gpu,64,64,4,True,0.0,0.0,0.75,3,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,12,cufft,-490.384,133.3676371574402,polaris-gpu,64,64,4,True,0.0,0.0,0.75,4,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,2,cufft,-363.913,134.87228727340698,polaris-gpu,64,64,4,True,0.0,0.0,0.0,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,4,cufft,-472.562,136.1259331703186,polaris-gpu,64,64,4,True,0.0,0.0,0.25,3,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,4,cufft,-489.18,137.49415063858032,polaris-gpu,64,64,4,True,0.0,0.0,0.25,4,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,16,cufft,-485.789,138.83253121376038,polaris-gpu,64,64,4,True,0.0,0.0,1.0,2,4
float,512,512,512,-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,2,cufft,-478.448,140.3580060005188,polaris-gpu,64,64,4,True,0.0,0.0,0.0,3,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,2,cufft,-498.369,141.52054595947266,polaris-gpu,64,64,4,True,0.0,0.0,0.0,4,4
float,512,512,512,-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,4,cufft,-492.042,142.87932682037354,polaris-gpu,64,64,4,True,0.0,0.0,0.25,2,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,16,cufft,-470.92,144.4253740310669,polaris-gpu,64,64,4,True,0.0,0.0,1.0,3,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,16,cufft,-492.786,145.62414264678955,polaris-gpu,64,64,4,True,0.0,0.0,1.0,4,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,2,cufft,-498.958,146.92539978027344,polaris-gpu,64,64,4,True,0.0,0.0,0.0,2,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,12,cufft,-472.39,148.3706796169281,polaris-gpu,64,64,4,True,0.0,0.0,0.75,3,4
float,512,512,512,-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,16,cufft,-388.101,149.79357647895813,polaris-gpu,64,64,4,True,0.0,0.0,1.0,4,4
