p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,1 16 1,4,cufft,-544.92,821.3662104606628,polaris-gpu,16,64,4,True,3,4
float,256,256,512, , ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,8,cufft,-617.794,823.4408895969391,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 4 1,8,cufft,-670.446,825.4958698749542,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,8,cufft,-698.13,827.5838820934296,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 4 1,12,cufft,-665.325,829.5878176689148,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, ,-p2p_pl,-slabs,-r2c_dir 1,8 2 1,2 8 1,8,cufft,-438.254,831.7432811260223,polaris-gpu,16,64,4,True,3,4
double,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 4 1,8,cufft,-413.158,833.8392853736877,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,1 2 8,16,cufft,1.0,1135.5716695785522,polaris-gpu,16,64,4,True,5,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,16,cufft,-697.058,837.9587614536285,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,16,cufft,-608.425,842.0805988311768,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 4 2,12,cufft,-661.09,846.2260942459106,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 4 2,12,cufft,-659.533,850.3190312385559,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 4 2,8,cufft,-669.039,854.3565864562988,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,8 2 1,4 4 1,12,cufft,1.0,1158.3330070972443,polaris-gpu,16,64,4,True,3,4
double,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,16,cufft,-421.917,965.001638174057,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 4 1,2,cufft,-666.844,969.1196093559265,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 4 1,8,cufft,-593.59,973.3122093677521,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 4 2,8,cufft,-660.396,977.4149537086487,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,16 1 1,8,cufft,-516.796,981.5757145881653,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,1 1 16,12,cufft,2.255,985.4106690883636,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,2 8 1,8,cufft,-594.392,989.5278866291046,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,12,cufft,-689.38,993.6740365028381,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,4 4 1,12,cufft,-590.128,997.7937006950378,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils, ,8 2 1,4 4 1,12,cufft,-638.596,1001.9565649032593,polaris-gpu,16,64,4,True,2,4
float,256,256,512, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 4 1,16,cufft,-587.503,1006.118837594986,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 1 4,16,cufft,-551.677,1010.1846296787262,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,1 8 2,12,cufft,1.0,1313.9921336174011,polaris-gpu,16,64,4,True,2,4
